datetime,Temperature,ENERGY_Produced,hour,dayofweek,month
2009-01-01 00:00:00,-1.131111111,75957,0,4,1
2009-01-01 01:00:00,-1.047777778,73806,1,4,1
2009-01-01 02:00:00,-0.87,71095,2,4,1
2009-01-01 03:00:00,-0.736666667,67398,3,4,1
2009-01-01 04:00:00,-0.697777778,63240,4,4,1
2009-01-01 05:00:00,-0.447777778,61046,5,4,1
2009-01-01 06:00:00,-0.37,60716,6,4,1
2009-01-01 07:00:00,-0.358888889,58491,7,4,1
2009-01-01 08:00:00,-0.336666667,58794,8,4,1
2009-01-01 09:00:00,0.133333333,64619,9,4,1
2009-01-01 10:00:00,0.538888889,71511,10,4,1
2009-01-01 11:00:00,0.931111111,77202,11,4,1
2009-01-01 12:00:00,1.373333333,80876,12,4,1
2009-01-01 13:00:00,1.44,81587,13,4,1
2009-01-01 14:00:00,1.493333333,81282,14,4,1
2009-01-01 15:00:00,1.276666667,82499,15,4,1
2009-01-01 16:00:00,0.653333333,89015,16,4,1
2009-01-01 17:00:00,0.37,91904,17,4,1
2009-01-01 18:00:00,0.07,89484,18,4,1
2009-01-01 19:00:00,0.025555556,86367,19,4,1
2009-01-01 20:00:00,0.064444444,82927,20,4,1
2009-01-01 21:00:00,0.481111111,78294,21,4,1
2009-01-01 22:00:00,0.642222222,72938,22,4,1
2009-01-01 23:00:00,0.706666667,68273,23,4,1
2009-01-02 00:00:00,0.64,68250,0,5,1
2009-01-02 01:00:00,0.628888889,66609,1,5,1
2009-01-02 02:00:00,0.826666667,65582,2,5,1
2009-01-02 03:00:00,0.893333333,63726,3,5,1
2009-01-02 04:00:00,1.071111111,61123,4,5,1
2009-01-02 05:00:00,1.21,60886,5,5,1
2009-01-02 06:00:00,1.31,65031,6,5,1
2009-01-02 07:00:00,1.254444444,68685,7,5,1
2009-01-02 08:00:00,1.51,74043,8,5,1
2009-01-02 09:00:00,1.848888889,81311,9,5,1
2009-01-02 10:00:00,2.326666667,85380,10,5,1
2009-01-02 11:00:00,3.31,87070,11,5,1
2009-01-02 12:00:00,4.16,87870,12,5,1
2009-01-02 13:00:00,4.226666667,87630,13,5,1
2009-01-02 14:00:00,3.926666667,87408,14,5,1
2009-01-02 15:00:00,3.61,88703,15,5,1
2009-01-02 16:00:00,3.171111111,96606,16,5,1
2009-01-02 17:00:00,2.61,102449,17,5,1
2009-01-02 18:00:00,2.471111111,99867,18,5,1
2009-01-02 19:00:00,2.121111111,95253,19,5,1
2009-01-02 20:00:00,1.643333333,90255,20,5,1
2009-01-02 21:00:00,1.137777778,84441,21,5,1
2009-01-02 22:00:00,1.237777778,79073,22,5,1
2009-01-02 23:00:00,0.763333333,73470,23,5,1
2009-01-03 00:00:00,0.57,72779,0,6,1
2009-01-03 01:00:00,0.336666667,70091,1,6,1
2009-01-03 02:00:00,0.064444444,68258,2,6,1
2009-01-03 03:00:00,0.064444444,66205,3,6,1
2009-01-03 04:00:00,-0.141111111,63607,4,6,1
2009-01-03 05:00:00,0.02,62807,5,6,1
2009-01-03 06:00:00,0.025555556,64638,6,6,1
2009-01-03 07:00:00,-0.046666667,66339,7,6,1
2009-01-03 08:00:00,-0.241111111,71258,8,6,1
2009-01-03 09:00:00,-0.13,79003,9,6,1
2009-01-03 10:00:00,0.203333333,83450,10,6,1
2009-01-03 11:00:00,1.26,84736,11,6,1
2009-01-03 12:00:00,2.348888889,85161,12,6,1
2009-01-03 13:00:00,2.843333333,84207,13,6,1
2009-01-03 14:00:00,2.682222222,83221,14,6,1
2009-01-03 15:00:00,1.915555556,84479,15,6,1
2009-01-03 16:00:00,0.693333333,93103,16,6,1
2009-01-03 17:00:00,0.225555556,99715,17,6,1
2009-01-03 18:00:00,-0.283333333,97786,18,6,1
2009-01-03 19:00:00,-0.72,93535,19,6,1
2009-01-03 20:00:00,-0.876666667,88702,20,6,1
2009-01-03 21:00:00,-1.156666667,83092,21,6,1
2009-01-03 22:00:00,-1.145555556,78153,22,6,1
2009-01-03 23:00:00,-1.173333333,73366,23,6,1
2009-01-04 00:00:00,-1.804444444,72886,0,7,1
2009-01-04 01:00:00,-1.934444444,69841,1,7,1
2009-01-04 02:00:00,-1.823333333,67855,2,7,1
2009-01-04 03:00:00,-2.036666667,66415,3,7,1
2009-01-04 04:00:00,-2.493333333,63621,4,7,1
2009-01-04 05:00:00,-2.743333333,62070,5,7,1
2009-01-04 06:00:00,-2.406666667,62340,6,7,1
2009-01-04 07:00:00,-2.484444444,62066,7,7,1
2009-01-04 08:00:00,-2.862222222,65664,8,7,1
